Question,Question Type,QID,Answer,Title,EM,F1,Question Words,Answer Words,Question Length,Answer Length
What may patients decline?,What,10,"offered treatments (e.g., OT) and may also decline risk mitigation strategies (e.g.,  UDT, pill counts) that are recommended in the course of clinical care",Recommendations,0,0.29629629629629634,"['What', 'may', 'patients', 'decline', '?']","['offered', 'treatments', '(', 'e.g.', ',', 'OT', ')', 'and', 'may', 'also', 'decline', 'risk', 'mitigation', 'strategies', '(', 'e.g.', ',', ' ', 'UDT', ',', 'pill', 'counts', ')', 'that', 'are', 'recommended', 'in', 'the', 'course', 'of', 'clinical', 'care']",5,32
Who are at an increased risks of acute OT extending into LOT?,Who,11,"patients with mood disorders, those who refill  the initial prescription, higher prescribed dose (greater than 120 mg MEDD), and initiation using long acting opioids",Recommendations,0,0.29629629629629634,"['Who', 'are', 'at', 'an', 'increased', 'risks', 'of', 'acute', 'OT', 'extending', 'into', 'LOT', '?']","['patients', 'with', 'mood', 'disorders', ',', 'those', 'who', 'refill', ' ', 'the', 'initial', 'prescription', ',', 'higher', 'prescribed', 'dose', '(', 'greater', 'than', '120', 'mg', 'MEDD', ')', ',', 'and', 'initiation', 'using', 'long', 'acting', 'opioids']",13,30
What does increase the risk of acute post-operative OT progressing into LOT?,What,12,"a  history of depression, SUD, catastrophizing, higher preoperative total body pain, history of back pain, and  preoperative use of sedative-hypnotics or antidepressants",Recommendations,0,0.0909090909090909,"['What', 'does', 'increase', 'the', 'risk', 'of', 'acute', 'post', '-', 'operative', 'OT', 'progressing', 'into', 'LOT', '?']","['a', ' ', 'history', 'of', 'depression', ',', 'SUD', ',', 'catastrophizing', ',', 'higher', 'preoperative', 'total', 'body', 'pain', ',', 'history', 'of', 'back', 'pain', ',', 'and', ' ', 'preoperative', 'use', 'of', 'sedative', '-', 'hypnotics', 'or', 'antidepressants']",15,31
Why is future research needed to optimize care for chronic-pain patients with and without cannabis use?,Why,13,Given the increasing use of cannabis among patients with chronic pain and the lack of RCTs comparing  outcomes of prescribing LOT versus other therapies for patients with and without cannabis use and  cannabis use disorder,Recommendations,0,0.8,"['Why', 'is', 'future', 'research', 'needed', 'to', 'optimize', 'care', 'for', 'chronic', '-', 'pain', 'patients', 'with', 'and', 'without', 'cannabis', 'use', '?']","['Given', 'the', 'increasing', 'use', 'of', 'cannabis', 'among', 'patients', 'with', 'chronic', 'pain', 'and', 'the', 'lack', 'of', 'RCTs', 'comparing', ' ', 'outcomes', 'of', 'prescribing', 'LOT', 'versus', 'other', 'therapies', 'for', 'patients', 'with', 'and', 'without', 'cannabis', 'use', 'and', ' ', 'cannabis', 'use', 'disorder']",19,37
What may help determine earlier in the course of treatment which patients are most likely to  benefit from a specific non-pharmacologic therapy or non opioid pharmacologic therapies alone or as part of a multimodal approach?,What,14,Further studies,Recommendations,1,1.0,"['What', 'may', 'help', 'determine', 'earlier', 'in', 'the', 'course', 'of', 'treatment', 'which', 'patients', 'are', 'most', 'likely', 'to', ' ', 'benefit', 'from', 'a', 'specific', 'non', '-', 'pharmacologic', 'therapy', 'or', 'non', 'opioid', 'pharmacologic', 'therapies', 'alone', 'or', 'as', 'part', 'of', 'a', 'multimodal', 'approach', '?']","['Further', 'studies']",39,2
What should not be used for treatment of acute pain?,What,15,Long-acting opioids,Recommendations,1,1.0,"['What', 'should', 'not', 'be', 'used', 'for', 'treatment', 'of', 'acute', 'pain', '?']","['Long', '-', 'acting', 'opioids']",11,4
Which opioid/opioid formulation is preferred over the others?,Which,16,no single,Recommendations,1,1.0,"['Which', 'opioid', '/', 'opioid', 'formulation', 'is', 'preferred', 'over', 'the', 'others', '?']","['no', 'single']",11,2
What does risk of overdose include?,What,17,the use of opioids for acute pain,Recommendations,1,1.0,"['What', 'does', 'risk', 'of', 'overdose', 'include', '?']","['the', 'use', 'of', 'opioids', 'for', 'acute', 'pain']",7,7
Which factors increase overdose risk when opioids are used for acute pain?,Which,18,"high prescribed dose, history of SUD, and history of  mental health concerns",Recommendations,1,1.0,"['Which', 'factors', 'increase', 'overdose', 'risk', 'when', 'opioids', 'are', 'used', 'for', 'acute', 'pain', '?']","['high', 'prescribed', 'dose', ',', 'history', 'of', 'SUD', ',', 'and', 'history', 'of', ' ', 'mental', 'health', 'concerns']",13,15
When is the relationship between OUD and duration of therapy magnified?,When,19,when patients have a history of  previous opioid or non-opioid SUD,Recommendations,1,1.0,"['When', 'is', 'the', 'relationship', 'between', 'OUD', 'and', 'duration', 'of', 'therapy', 'magnified', '?']","['when', 'patients', 'have', 'a', 'history', 'of', ' ', 'previous', 'opioid', 'or', 'non', '-', 'opioid', 'SUD']",12,14
Why only nine key questions (KQs) were prioritized from many possible KQs?,Why,20,Because a comprehensive review of the evidence related to LOT was not feasible,Specifications,0,0.9523809523809523,"['Why', 'only', 'nine', 'key', 'questions', '(', 'KQs', ')', 'were', 'prioritized', 'from', 'many', 'possible', 'KQs', '?']","['Because', 'a', 'comprehensive', 'review', 'of', 'the', 'evidence', 'related', 'to', 'LOT', 'was', 'not', 'feasible']",15,13
What is the utmost concern for patients who receive OT beyond 90 days?,What,22,the heightened risk for developing OUD,Recommendations,1,1.0,"['What', 'is', 'the', 'utmost', 'concern', 'for', 'patients', 'who', 'receive', 'OT', 'beyond', '90', 'days', '?']","['the', 'heightened', 'risk', 'for', 'developing', 'OUD']",14,6
What are some alternatives to opioid therapy?,What,23,self-management strategies and other non-pharmacological treatments,Recommendations,1,1.0,"['What', 'are', 'some', 'alternatives', 'to', 'opioid', 'therapy', '?']","['self', '-', 'management', 'strategies', 'and', 'other', 'non', '-', 'pharmacological', 'treatments']",8,10
What is the recommendation regarding initiation of long-term opioid therapy for chronic pain?,What,24,recommend against,Recommendations,1,1.0,"['What', 'is', 'the', 'recommendation', 'regarding', 'initiation', 'of', 'long', '-', 'term', 'opioid', 'therapy', 'for', 'chronic', 'pain', '?']","['recommend', 'against']",16,2
When should non-opioids be recommended over opioids?,When,25,When pharmacologic therapies are used,Recommendations,1,1.0,"['When', 'should', 'non', '-', 'opioids', 'be', 'recommended', 'over', 'opioids', '?']","['When', 'pharmacologic', 'therapies', 'are', 'used']",10,5
What is the stance regarding alternatives to opioid therapy such as self-management strategies and other non-pharmacological treatments?,What,26,recommend,Recommendations,0,0.33333333333333337,"['What', 'is', 'the', 'stance', 'regarding', 'alternatives', 'to', 'opioid', 'therapy', 'such', 'as', 'self', '-', 'management', 'strategies', 'and', 'other', 'non', '-', 'pharmacological', 'treatments', '?']",['recommend'],22,1
What does the work Group recognize?,What,28,not all clinical practices are linear,Algorithm,1,1.0,"['What', 'does', 'the', 'work', 'Group', 'recognize', '?']","['not', 'all', 'clinical', 'practices', 'are', 'linear']",7,6
What does the simplified linear approach depicted through the algorithm and its format allow?,What,29,to assess the critical information needed at the major decision points in the clinical process,Algorithm,0,0.9600000000000001,"['What', 'does', 'the', 'simplified', 'linear', 'approach', 'depicted', 'through', 'the', 'algorithm', 'and', 'its', 'format', 'allow', '?']","['to', 'assess', 'the', 'critical', 'information', 'needed', 'at', 'the', 'major', 'decision', 'points', 'in', 'the', 'clinical', 'process']",15,15
Who does assess the critical information needed at the major decision points in the clinical process?,Who,30,the provider,Algorithm,1,1.0,"['Who', 'does', 'assess', 'the', 'critical', 'information', 'needed', 'at', 'the', 'major', 'decision', 'points', 'in', 'the', 'clinical', 'process', '?']","['the', 'provider']",17,2
What does the algorithm include?,What,32,"an ordered sequence of steps of care, recommended observations and examinations, decisions to be considered, actions to be taken",Algorithm,1,1.0,"['What', 'does', 'the', 'algorithm', 'include', '?']","['an', 'ordered', 'sequence', 'of', 'steps', 'of', 'care', ',', 'recommended', 'observations', 'and', 'examinations', ',', 'decisions', 'to', 'be', 'considered', ',', 'actions', 'to', 'be', 'taken']",6,22
How much does the risk increase at a range of 50 to <100 mg MEDD compared to risk at <20 mg MEDD?,How,37,approximately 2.6 times,Recommendations,1,1.0,"['How', 'much', 'does', 'the', 'risk', 'increase', 'at', 'a', 'range', 'of', '50', 'to', '<', '100', 'mg', 'MEDD', 'compared', 'to', 'risk', 'at', '<', '20', 'mg', 'MEDD', '?']","['approximately', '2.6', 'times']",25,3
How much does the risk increase at a daily dosage range of 20 to <50 mg MEDD?,How,38,approximately 1.5 times,Recommendations,1,1.0,"['How', 'much', 'does', 'the', 'risk', 'increase', 'at', 'a', 'daily', 'dosage', 'range', 'of', '20', 'to', '<', '50', 'mg', 'MEDD', '?']","['approximately', '1.5', 'times']",19,3
What was the tasks of Interagency Pain Research Coordinating Committee?,What,40,"summarizing advances in pain  care research, identifying gaps in research, and developing recommendations regarding ways to minimize  duplicative efforts, disseminate pain care information, and expand public/private research partnerships  and collaborations",Background,0,0.06451612903225806,"['What', 'was', 'the', 'tasks', 'of', 'Interagency', 'Pain', 'Research', 'Coordinating', 'Committee', '?']","['summarizing', 'advances', 'in', 'pain', ' ', 'care', 'research', ',', 'identifying', 'gaps', 'in', 'research', ',', 'and', 'developing', 'recommendations', 'regarding', 'ways', 'to', 'minimize', ' ', 'duplicative', 'efforts', ',', 'disseminate', 'pain', 'care', 'information', ',', 'and', 'expand', 'public', '/', 'private', 'research', 'partnerships', ' ', 'and', 'collaborations']",11,39
Who published the National Pain Strategy?,Who,41,The Committee,Background,0,0.33333333333333337,"['Who', 'published', 'the', 'National', 'Pain', 'Strategy', '?']","['The', 'Committee']",7,2
What was the purpose of  Interagency Pain Research Coordinating Committee?,What,42,coordinate pain research efforts  throughout federal government agencies,Background,1,1.0,"['What', 'was', 'the', 'purpose', 'of', ' ', 'Interagency', 'Pain', 'Research', 'Coordinating', 'Committee', '?']","['coordinate', 'pain', 'research', 'efforts', ' ', 'throughout', 'federal', 'government', 'agencies']",12,9
When was the National Pain Strategy published?,When,43,March 2016,Background,1,1.0,"['When', 'was', 'the', 'National', 'Pain', 'Strategy', 'published', '?']","['March', '2016']",8,2
How was the National Pain Strategy published?,How,44,in response to the  call from the National Academy of Medicine to increase awareness of pain as a significant public health  issue in the U.S.,Background,1,1.0,"['How', 'was', 'the', 'National', 'Pain', 'Strategy', 'published', '?']","['in', 'response', 'to', 'the', ' ', 'call', 'from', 'the', 'National', 'Academy', 'of', 'Medicine', 'to', 'increase', 'awareness', 'of', 'pain', 'as', 'a', 'significant', 'public', 'health', ' ', 'issue', 'in', 'the', 'U.S.']",8,27
When was the Interagency Pain Research Coordinating Committee created?,When,45,March 2010,Background,1,1.0,"['When', 'was', 'the', 'Interagency', 'Pain', 'Research', 'Coordinating', 'Committee', 'created', '?']","['March', '2010']",10,2
How was the Interagency Pain Research Coordinating Committee created?,How,46,With the passage of the Patient Protection and Affordable Care Act (PPACA) in March 2010,Background,0,0.0,"['How', 'was', 'the', 'Interagency', 'Pain', 'Research', 'Coordinating', 'Committee', 'created', '?']","['With', 'the', 'passage', 'of', 'the', 'Patient', 'Protection', 'and', 'Affordable', 'Care', 'Act', '(', 'PPACA', ')', 'in', 'March', '2010']",10,17
What was the aim of the National Pain Strategy?,What,47,"decreasing the  prevalence of all types of pain (acute and chronic) in the U.S., as well as the disability and morbidity  associated with pain",Background,1,1.0,"['What', 'was', 'the', 'aim', 'of', 'the', 'National', 'Pain', 'Strategy', '?']","['decreasing', 'the', ' ', 'prevalence', 'of', 'all', 'types', 'of', 'pain', '(', 'acute', 'and', 'chronic', ')', 'in', 'the', 'U.S.', ',', 'as', 'well', 'as', 'the', 'disability', 'and', 'morbidity', ' ', 'associated', 'with', 'pain']",10,29
What are some talking points for educating/re-educating the patients currently on OT? ,What,48,"“Doctors used to think that opioids were safe and effective when used for long periods of time to treat chronic pain.”, “New information has taught us that long-term opioid use can lead to multiple problems including loss of pain relieving effects, increased pain, unintentional death, OUD, and problems with sleep, mood, hormonal dysfunction, and immune dysfunction,”, “We now know that the best treatments for chronic pain are not opioids. The best treatments for chronic pain are non-drug treatments such as psychological therapies and rehabilitation therapies and non-opioid medications.”",Algorithm,0,0.37383177570093457,"['What', 'are', 'some', 'talking', 'points', 'for', 'educating', '/', 're', '-', 'educating', 'the', 'patients', 'currently', 'on', 'OT', '?']","['“', 'Doctors', 'used', 'to', 'think', 'that', 'opioids', 'were', 'safe', 'and', 'effective', 'when', 'used', 'for', 'long', 'periods', 'of', 'time', 'to', 'treat', 'chronic', 'pain', '.', '”', ',', '“', 'New', 'information', 'has', 'taught', 'us', 'that', 'long', '-', 'term', 'opioid', 'use', 'can', 'lead', 'to', 'multiple', 'problems', 'including', 'loss', 'of', 'pain', 'relieving', 'effects', ',', 'increased', 'pain', ',', 'unintentional', 'death', ',', 'OUD', ',', 'and', 'problems', 'with', 'sleep', ',', 'mood', ',', 'hormonal', 'dysfunction', ',', 'and', 'immune', 'dysfunction', ',', '”', ',', '“', 'We', 'now', 'know', 'that', 'the', 'best', 'treatments', 'for', 'chronic', 'pain', 'are', 'not', 'opioids', '.', 'The', 'best', 'treatments', 'for', 'chronic', 'pain', 'are', 'non', '-', 'drug', 'treatments', 'such', 'as', 'psychological', 'therapies', 'and', 'rehabilitation', 'therapies', 'and', 'non', '-', 'opioid', 'medications', '.', '”']",17,113
Which factors require immediate attention and possible discontinuation?,Which,49,"untreated SUD, unstable mental health disorder, medical condition that acutely increases opioid risks (e.g., compromised or worsening cognitive or cardiopulmonary status), other factors that acutely increase risk of overdose (recent overdose, current sedation, recent motor vehicle accident), acutely elevated suicide risk",Algorithm,0,0.6774193548387097,"['Which', 'factors', 'require', 'immediate', 'attention', 'and', 'possible', 'discontinuation', '?']","['untreated', 'SUD', ',', 'unstable', 'mental', 'health', 'disorder', ',', 'medical', 'condition', 'that', 'acutely', 'increases', 'opioid', 'risks', '(', 'e.g.', ',', 'compromised', 'or', 'worsening', 'cognitive', 'or', 'cardiopulmonary', 'status', ')', ',', 'other', 'factors', 'that', 'acutely', 'increase', 'risk', 'of', 'overdose', '(', 'recent', 'overdose', ',', 'current', 'sedation', ',', 'recent', 'motor', 'vehicle', 'accident', ')', ',', 'acutely', 'elevated', 'suicide', 'risk']",9,52
What other factors can acutely increase risk of overdose?,What,50,"recent overdose, current sedation, recent motor vehicle accident",Algorithm,1,1.0,"['What', 'other', 'factors', 'can', 'acutely', 'increase', 'risk', 'of', 'overdose', '?']","['recent', 'overdose', ',', 'current', 'sedation', ',', 'recent', 'motor', 'vehicle', 'accident']",10,10
What are the benefits of continuing opioid therapy?,What,51,"modest short-term improvement in pain, possible short-term improvement in function",Algorithm,1,1.0,"['What', 'are', 'the', 'benefits', 'of', 'continuing', 'opioid', 'therapy', '?']","['modest', 'short', '-', 'term', 'improvement', 'in', 'pain', ',', 'possible', 'short', '-', 'term', 'improvement', 'in', 'function']",9,15
What are the risks of continuing opioid therapy?,What,52,"increase in all-cause mortality, increase risk of unintentional overdose death, increase risk of developing OUD, risk of developing or worsening - depression, falls, fractures, sleep disordered breathing, worsening pain, motor vehicle accidents hypogonadism, prolonged pain, nausea, constipation, dry mouth, sedation, cognitive dysfunction, immune system dysfunction, reduction in function, reduction in quality of life",Algorithm,0,0.03773584905660378,"['What', 'are', 'the', 'risks', 'of', 'continuing', 'opioid', 'therapy', '?']","['increase', 'in', 'all', '-', 'cause', 'mortality', ',', 'increase', 'risk', 'of', 'unintentional', 'overdose', 'death', ',', 'increase', 'risk', 'of', 'developing', 'OUD', ',', 'risk', 'of', 'developing', 'or', 'worsening', '-', 'depression', ',', 'falls', ',', 'fractures', ',', 'sleep', 'disordered', 'breathing', ',', 'worsening', 'pain', ',', 'motor', 'vehicle', 'accidents', 'hypogonadism', ',', 'prolonged', 'pain', ',', 'nausea', ',', 'constipation', ',', 'dry', 'mouth', ',', 'sedation', ',', 'cognitive', 'dysfunction', ',', 'immune', 'system', 'dysfunction', ',', 'reduction', 'in', 'function', ',', 'reduction', 'in', 'quality', 'of', 'life']",9,72
What is the basis of the shared decision making process for chronic pain treatment planning?,What,53,the foundation of a  patient-centered assessment of risks and benefits and a clinical synthesis performed by the provider,Specifications,1,1.0,"['What', 'is', 'the', 'basis', 'of', 'the', 'shared', 'decision', 'making', 'process', 'for', 'chronic', 'pain', 'treatment', 'planning', '?']","['the', 'foundation', 'of', 'a', ' ', 'patient', '-', 'centered', 'assessment', 'of', 'risks', 'and', 'benefits', 'and', 'a', 'clinical', 'synthesis', 'performed', 'by', 'the', 'provider']",16,21
What does the patient-centered assessment incorporate?,What,54,"a patient-centered interview, and exploration of  patient values, goals, questions, concerns, and expectations",Specifications,1,1.0,"['What', 'does', 'the', 'patient', '-', 'centered', 'assessment', 'incorporate', '?']","['a', 'patient', '-', 'centered', 'interview', ',', 'and', 'exploration', 'of', ' ', 'patient', 'values', ',', 'goals', ',', 'questions', ',', 'concerns', ',', 'and', 'expectations']",9,21
What does include severe respiratory instability or sleep disordered breathing?,What,55,"any co-occurring condition that significantly affects respiratory rate or function such as chronic obstructive pulmonary disease (COPD), asthma, pneumonia, sleep apnea, or a neuromuscular condition (e.g., amyotrophic lateral sclerosis)",Background,0,0.0689655172413793,"['What', 'does', 'include', 'severe', 'respiratory', 'instability', 'or', 'sleep', 'disordered', 'breathing', '?']","['any', 'co', '-', 'occurring', 'condition', 'that', 'significantly', 'affects', 'respiratory', 'rate', 'or', 'function', 'such', 'as', 'chronic', 'obstructive', 'pulmonary', 'disease', '(', 'COPD', ')', ',', 'asthma', ',', 'pneumonia', ',', 'sleep', 'apnea', ',', 'or', 'a', 'neuromuscular', 'condition', '(', 'e.g.', ',', 'amyotrophic', 'lateral', 'sclerosis', ')']",11,40
Who showed a weak but positive association with opioid-related toxicity/overdose and overdose-related death?,Who,56,Two large observational studies of patients with a  history of COPD and sleep apnea who were prescribed opioids,Background,1,1.0,"['Who', 'showed', 'a', 'weak', 'but', 'positive', 'association', 'with', 'opioid', '-', 'related', 'toxicity', '/', 'overdose', 'and', 'overdose', '-', 'related', 'death', '?']","['Two', 'large', 'observational', 'studies', 'of', 'patients', 'with', 'a', ' ', 'history', 'of', 'COPD', 'and', 'sleep', 'apnea', 'who', 'were', 'prescribed', 'opioids']",20,19
Which patients are especially at risk for OUD and overdose?,Which,57,those who are  younger than 30 years of age,Recommendations,1,1.0,"['Which', 'patients', 'are', 'especially', 'at', 'risk', 'for', 'OUD', 'and', 'overdose', '?']","['those', 'who', 'are', ' ', 'younger', 'than', '30', 'years', 'of', 'age']",11,10
Who are at risk for OUD and overdose?,Who,58,All patients who take opioids chronically,Recommendations,1,1.0,"['Who', 'are', 'at', 'risk', 'for', 'OUD', 'and', 'overdose', '?']","['All', 'patients', 'who', 'take', 'opioids', 'chronically']",9,6
"How many studies examined age as a predictor of OUD,  respiratory/CNS depression, and/or overdose?",How,59,Seven,Recommendations,1,1.0,"['How', 'many', 'studies', 'examined', 'age', 'as', 'a', 'predictor', 'of', 'OUD', ',', ' ', 'respiratory', '/', 'CNS', 'depression', ',', 'and/or', 'overdose', '?']",['Seven'],20,1
How to determine the situations where the benefits of LOT clearly outweigh the risks?,How,61,through individual clinical assessment,Recommendations,1,1.0,"['How', 'to', 'determine', 'the', 'situations', 'where', 'the', 'benefits', 'of', 'LOT', 'clearly', 'outweigh', 'the', 'risks', '?']","['through', 'individual', 'clinical', 'assessment']",15,4
What is not an absolute contraindication to LOT?,What,62,Continuing OT for longer than 90 days,Recommendations,1,1.0,"['What', 'is', 'not', 'an', 'absolute', 'contraindication', 'to', 'LOT', '?']","['Continuing', 'OT', 'for', 'longer', 'than', '90', 'days']",9,7
What should be weighed heavily in the risk benefit calculus for LOT?,What,63,continuing OT beyond 90 days’ duration,Recommendations,1,1.0,"['What', 'should', 'be', 'weighed', 'heavily', 'in', 'the', 'risk', 'benefit', 'calculus', 'for', 'LOT', '?']","['continuing', 'OT', 'beyond', '90', 'days', '’', 'duration']",13,7
What must be determined through individual clinical assessment?,What,64,There may be some situations where the benefits of LOT clearly outweigh the risks.,Recommendations,1,1.0,"['What', 'must', 'be', 'determined', 'through', 'individual', 'clinical', 'assessment', '?']","['There', 'may', 'be', 'some', 'situations', 'where', 'the', 'benefits', 'of', 'LOT', 'clearly', 'outweigh', 'the', 'risks', '.']",9,15
Which four domains were considered to make the recommendations?,Which,65,"confidence in the quality of the evidence, balance of desirable and undesirable outcomes (i.e., benefits and harms), patient or provider values and preferences, and other implications, as appropriate (e.g., resource use, equity, acceptability)",Recommendations,0,0.09999999999999999,"['Which', 'four', 'domains', 'were', 'considered', 'to', 'make', 'the', 'recommendations', '?']","['confidence', 'in', 'the', 'quality', 'of', 'the', 'evidence', ',', 'balance', 'of', 'desirable', 'and', 'undesirable', 'outcomes', '(', 'i.e.', ',', 'benefits', 'and', 'harms', ')', ',', 'patient', 'or', 'provider', 'values', 'and', 'preferences', ',', 'and', 'other', 'implications', ',', 'as', 'appropriate', '(', 'e.g.', ',', 'resource', 'use', ',', 'equity', ',', 'acceptability', ')']",10,45
What is GRADE?,What,66,"Grading of Recommendations Assessment, Development and Evaluation",Recommendations,1,1.0,"['What', 'is', 'GRADE', '?']","['Grading', 'of', 'Recommendations', 'Assessment', ',', 'Development', 'and', 'Evaluation']",4,8
What was used to make the recommendations?,What,67,"a systematic approach considering four domains as per the Grading of Recommendations Assessment, Development and Evaluation (GRADE) approach",Recommendations,1,1.0,"['What', 'was', 'used', 'to', 'make', 'the', 'recommendations', '?']","['a', 'systematic', 'approach', 'considering', 'four', 'domains', 'as', 'per', 'the', 'Grading', 'of', 'Recommendations', 'Assessment', ',', 'Development', 'and', 'Evaluation', '(', 'GRADE', ')', 'approach']",8,21
