Question,Question Type,QID,title_old,Answer,TITLE
What warrants an urgent evaluation during opioid therapy?,What,52,Pain Management Opioid Taper Decision Tool,"when there is progressive numbness or weakness, progressive changes in bowel or bladder function, unexplained weight loss, a history of internal malignancy that has not been re-staged, signs of/risk factors for infection such as fever, recent skin or urinary infection, immunosuppression, IV drug use",Specifications
What is needed when there is progressive numbness or weakness?,What,53,Pain Management Opioid Taper Decision Tool,An urgent evaluation,Specifications
What is needed when there are progressive changes in bowel or bladder function?,What,54,Pain Management Opioid Taper Decision Tool,An urgent evaluation,Specifications
What is needed when there is unexplained weight loss?,What,55,Pain Management Opioid Taper Decision Tool,An urgent evaluation,Specifications
What is needed when there is a history of internal malignancy that has not been re-staged?,What,56,Pain Management Opioid Taper Decision Tool,An urgent evaluation,Specifications
What is needed when there are signs of/risk factors for infection?,What,57,Pain Management Opioid Taper Decision Tool,An urgent evaluation,Specifications
What are the signs of/risk factors for infection?,What,58,Pain Management Opioid Taper Decision Tool,"fever, recent skin or urinary infection, immunosuppression, IV drug use",Specifications
What to ensure before initiating an opioid taper?,What,59,Pain Management Opioid Taper Decision Tool,screening and treatment is offered for conditions that can complicate pain management,Specifications
Which conditions can complicate pain management?,Which,60,Pain Management Opioid Taper Decision Tool,"mental health disorders, OUD and other SUD, moral injury, central sensitization, medical complications, sleep disorders",Specifications
What are some examples of mental health disorders?,What,61,Pain Management Opioid Taper Decision Tool,"PTSD, anxiety disorders, depressive disorders",Specifications
"What to do if the veteran is suicidal, have high suicide risk or actively suicidal?",What,62,Pain Management Opioid Taper Decision Tool,"If suicidal, then activate suicide prevention plan. If high suicide risk or actively suicidal, consult with mental health provider before beginning taper.",Specifications
What to do if the veteran is suicidal?,What,63,Pain Management Opioid Taper Decision Tool,activate suicide prevention plan,Specifications
What to do if suicide risk is high in patients?,What,64,Pain Management Opioid Taper Decision Tool,consult with mental health provider before beginning taper,Specifications
What to do if the veteran is actively suicidal?,What,65,Pain Management Opioid Taper Decision Tool,consult with mental health provider before beginning taper,Specifications
What is the estimated lifetime prevalence for OUD among patients receiving long-term opioid therapy?,What,66,Pain Management Opioid Taper Decision Tool,"about 41%: approximately 28% for mild symptoms, 10% for moderate symptoms and 3.5% for severe symptoms of OUD",Specifications
What is the estimation of the lifetime prevalence for mild symptoms of OUD among patients receiving long-term opioid therapy?,What,67,Pain Management Opioid Taper Decision Tool,approximately 28%,Specifications
What is the estimation of the lifetime prevalence for moderate symptoms of OUD among patients receiving long-term opioid therapy?,What,68,Pain Management Opioid Taper Decision Tool,10%,Specifications
What is the estimation of the lifetime prevalence for severe symptoms of OUD among patients receiving long-term opioid therapy?,What,69,Pain Management Opioid Taper Decision Tool,3.5%,Specifications
Who needs to have both pain and OUD addressed?,Who,70,Pain Management Opioid Taper Decision Tool,Patients with chronic pain who develop OUD from opioid analgesic therapy,Specifications
What needs to be addressed for patients with chronic pain who develop OUD from opioid analgesic therapy?,What,71,Pain Management Opioid Taper Decision Tool,BOTH pain and OUD,Specifications
What may increase the risk of overdose and other adverse events in patients with chronic pain and OUD?,What,72,Pain Management Opioid Taper Decision Tool,Either tapering the opioid analgesic or continuing to prescribe the opioid without providing OUD treatment,Specifications
What kind of approach should be used to discuss options for OUD treatment?,What,75,Pain Management Opioid Taper Decision Tool,shared decision-making,Specifications
What is the first-line treatment for OUD?,What,76,Pain Management Opioid Taper Decision Tool,Medication-Assisted Therapy (MAT),Specifications
What is the preferred OUD treatment?,What,77,Pain Management Opioid Taper Decision Tool,Opioid Agonist Therapy (OAT),Specifications
What does opioid agonist treatment involve?,What,78,Pain Management Opioid Taper Decision Tool,taking opioid agonist medications such as buprenorphine/naloxone (Suboxone) or methadone,Specifications
What are some examples of opioid agonist medications?,What,79,Pain Management Opioid Taper Decision Tool,buprenorphine/naloxone (Suboxone) or methadone,Specifications
How to provide methadone for OUD therapy?,How,80,Pain Management Opioid Taper Decision Tool,through a federally regulated opioid treatment program for OUD therapy,Specifications
What is the alternative OUD treatment?,What,81,Pain Management Opioid Taper Decision Tool,extended-release (ER) injectable naltrexone (Vivitrol),Specifications
Name the treatment settings in which MAT can be provided.,What,82,Pain Management Opioid Taper Decision Tool,"residential SUD treatment, intensive outpatient SUD treatment, regular SUD specialty care clinic, primary care or general mental health clinic, or federally regulated opioid treatment program",Specifications
What is moral injury?,What,83,Pain Management Opioid Taper Decision Tool,"an act of transgression that leads to serious inner conflict typically brought on by betrayal, disproportionate violence, incidents involving civilians, within-rank violence",Specifications
What can cause moral injury?,What,84,Pain Management Opioid Taper Decision Tool,"betrayal, disproportionate violence, incidents involving civilians, within-rank violence",Specifications
How to treat a moral injury?,How,85,Pain Management Opioid Taper Decision Tool,via psychologists or chaplains,Specifications
Name a sleep disorder.,What,86,Pain Management Opioid Taper Decision Tool,Sleep apnea,Specifications
How to make sure that the veteran does not feel abandoned when a decision is made to taper?,How,87,Pain Management Opioid Taper Decision Tool,special attention must be given to ensure that the Veteran does not feel abandoned,Specifications
When must special attention be given to ensure that the Veteran does not feel abandoned?,When,88,Pain Management Opioid Taper Decision Tool,When a decision is made to taper,Specifications
What should be done prior to any changes being made in opioid prescribing?,What,89,Pain Management Opioid Taper Decision Tool,"a discussion should occur between the Veteran, family members/caregivers, and the provider either during a face-to-face appointment or on the telephone",Specifications
What strategies will help in the transition?,What,92,Pain Management Opioid Taper Decision Tool,"discussion, asking about goals, educating the veteran",Specifications
What is included in the discussion?,What,93,Pain Management Opioid Taper Decision Tool,"listening to the Veteran’s story, letting the Veteran know that you believe that their pain is real, using Motivational Interviewing (MI) techniques to acknowledge the Veteran’s fears about tapering",Specifications
Who to include in the discussion?,Who,94,Pain Management Opioid Taper Decision Tool,family members or other supporters,Specifications
Which techniques to use to acknowledge the Veteran’s fears about tapering?,Which,95,Pain Management Opioid Taper Decision Tool,Motivational Interviewing (MI),Specifications
What are Motivational Interviewing (MI) techniques used for?,What,96,Pain Management Opioid Taper Decision Tool,to acknowledge the Veteran’s fears about tapering,Specifications
What should not be the drawn-out life goals?,What,97,Pain Management Opioid Taper Decision Tool,just being pain-free,Specifications
What is PHI?,What,98,Pain Management Opioid Taper Decision Tool,Personal Health Inventory,Specifications
What to use to educate the Veteran?,What,99,Pain Management Opioid Taper Decision Tool,"Bio-Psycho-Social Model e.g., PHI’s “Whole Health” approach",Specifications
What is an example of Bio-Psycho-Social Model?,What,100,Pain Management Opioid Taper Decision Tool,PHI’s “Whole Health” approach,Specifications
What kinds of pain education groups should be offered to Veterans?,What,101,Pain Management Opioid Taper Decision Tool,Cognitive Behavioral Therapy (CBT) or Acceptance and Commitment Therapy (ACT) for Pain,Specifications
What are some examples of Complementary and Integrative Health (CIH) interventions?,What,102,Pain Management Opioid Taper Decision Tool,"acupuncture, meditation, yoga",Specifications
What is CIH?,What,103,Pain Management Opioid Taper Decision Tool,Complementary and Integrative Health,Specifications
What should the clinicians offer to reduce opioid risk?,What,104,Pain Management Opioid Taper Decision Tool,slow tapering of opioids to reduce opioid risks while not “cutting off” the Veteran,Specifications
"When formulating an opioid taper plan, what can be the initial goal?",When,105,Pain Management Opioid Taper Decision Tool,dose reduction or complete discontinuation,Specifications
Which tapers are often the most tolerable?,Which,107,Pain Management Opioid Taper Decision Tool,"Slower, more gradual tapers",Specifications
Which tapers can be completed over several months to years?,Which,108,Pain Management Opioid Taper Decision Tool,"Slower, more gradual tapers",Specifications
How long does it take to complete slower tapers?,How,109,Pain Management Opioid Taper Decision Tool,several months to years,Specifications
Which tapers may be required in certain instances like drug diversion?,Which,114,Pain Management Opioid Taper Decision Tool,More rapid tapers,Specifications
Which tapers may be required in certain instances like illegal activities?,Which,115,Pain Management Opioid Taper Decision Tool,More rapid tapers,Specifications
Which tapers may be required in certain instances like situations where the risks of continuing the opioid outweigh the risks of a rapid taper?,Which,116,Pain Management Opioid Taper Decision Tool,More rapid tapers,Specifications
"Which tapers may be required in certain instances like drug diversion, illegal activities, or situations where the risks of continuing the opioid outweigh the risks of a rapid taper?",Which,117,Pain Management Opioid Taper Decision Tool,More rapid tapers,Specifications
"When the risks of continuing the opioid outweigh the risks of a rapid taper, which tapers may be required?",When,118,Pain Management Opioid Taper Decision Tool,More rapid tapers,Specifications
What to document in the Veteran’s medical record?,What,119,Pain Management Opioid Taper Decision Tool,the rationale for the opioid taper and the opioid taper schedule,Specifications
What to provide to patients at increased risk of overdose?,What,120,Pain Management Opioid Taper Decision Tool,opioid overdose education,Specifications
What to prescribe to patients at increased risk of overdose?,What,121,Pain Management Opioid Taper Decision Tool,naloxone,Specifications
Whom to provide opioid overdose education?,Who,122,Pain Management Opioid Taper Decision Tool,patients at increased risk of overdose,Specifications
Whom to prescribe naloxone?,Who,123,Pain Management Opioid Taper Decision Tool,patients at increased risk of overdose,Specifications
How long does it take to lose tolerance?,How,124,Pain Management Opioid Taper Decision Tool,as little as a week,Specifications
How long does the slowest taper take?,How,126,Pain Management Opioid Taper Decision Tool,over years,Specifications
How much opioid to reduce in the slowest taper?,How,127,Pain Management Opioid Taper Decision Tool,2 to 10% every 4 to 8 weeks with pauses in taper as needed,Specifications
What can allow the patient time to acquire new skills for management of pain and emotional distress while allowing for neurobiological equilibration?,What,131,Pain Management Opioid Taper Decision Tool,Pauses in the taper,Specifications
How may pauses in the slowest opioid taper help the patient?,How,132,Pain Management Opioid Taper Decision Tool,allow the patient time to acquire new skills for management of pain and emotional distress while allowing for neurobiological equilibration,Specifications
"When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month two of the slowest opioid tapering?",When,133,Pain Management Opioid Taper Decision Tool,"75 mg SR qam, 75 mg noon, 90 mg qpm",Specifications
"When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month three of the slowest opioid tapering?",When,134,Pain Management Opioid Taper Decision Tool,75 mg SR (60 mg+15 mg) Q8h,Specifications
"When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month four of the slowest opioid tapering?",When,135,Pain Management Opioid Taper Decision Tool,"75 mg SR qam, 60 mg noon, 75 mg qpm",Specifications
"When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month five of the slowest opioid tapering?",When,136,Pain Management Opioid Taper Decision Tool,"60 mg SR qam, 60 mg noon, 75 mg qpm",Specifications
"When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month six of the slowest opioid tapering?",When,137,Pain Management Opioid Taper Decision Tool,60 mg SR Q8h,Specifications
"When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month seven of the slowest opioid tapering?",When,138,Pain Management Opioid Taper Decision Tool,"60 mg SR qam, 45 mg noon, 60 mg qpm",Specifications
"When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month eight of the slowest opioid tapering?",When,139,Pain Management Opioid Taper Decision Tool,"45 mg SR qam, 45 mg noon, 60 mg qpm",Specifications
"When reducing 5% of morphine SR 90 mg Q8h = 270 MEDD, what dose should be taken on month nine of the slowest opioid tapering?",When,140,Pain Management Opioid Taper Decision Tool,45 mg SR Q8h,Specifications
How long does the slower taper take?,How,142,Pain Management Opioid Taper Decision Tool,over months or years,Specifications
How much opioid to reduce in the slower taper?,How,143,Pain Management Opioid Taper Decision Tool,5 to 20% every 4 weeks with pauses in taper as needed,Specifications
Which one is the most common taper?,Which,144,Pain Management Opioid Taper Decision Tool,Slower Taper,Specifications
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on month 1, what dose should be taken on month two of the slower opioid tapering?",When,146,Pain Management Opioid Taper Decision Tool,60 mg SR Q8h,Specifications
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on month 1, what dose should be taken on month three of the slower opioid tapering?",When,147,Pain Management Opioid Taper Decision Tool,45 mg SR Q8h,Specifications
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on month 1, what dose should be taken on month four of the slower opioid tapering?",When,148,Pain Management Opioid Taper Decision Tool,30 mg SR Q8h,Specifications
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on month 1, what dose should be taken on month five of the slower opioid tapering?",When,149,Pain Management Opioid Taper Decision Tool,15 mg SR Q8h,Specifications
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on month 1, what dose should be taken on month six of the slower opioid tapering?",When,150,Pain Management Opioid Taper Decision Tool,15 mg SR Q12h,Specifications
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on month 1, what dose should be taken on month seven of the slower opioid tapering?",When,151,Pain Management Opioid Taper Decision Tool,15mg SR QHS,Specifications
When to stop slower tapering?,When,152,Pain Management Opioid Taper Decision Tool,after month 7,Specifications
What may be considered after stopping faster tapering after month 7?,What,153,Pain Management Opioid Taper Decision Tool,morphine IR 15 mg ½ tablet (7.5 mg) twice daily,Specifications
How long does the faster taper take?,How,154,Pain Management Opioid Taper Decision Tool,over weeks,Specifications
How much opioid to reduce in the faster taper?,How,155,Pain Management Opioid Taper Decision Tool,10 to 20% every week,Specifications
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on week 1, what dose should be taken on week two of the faster opioid tapering?",When,157,Pain Management Opioid Taper Decision Tool,60 mg SR (15 mg x 4) Q8h,Specifications
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on week 1, what dose should be taken on week three of the faster opioid tapering?",When,158,Pain Management Opioid Taper Decision Tool,45 mg SR (15 mg x 3) Q8h,Specifications
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on week 1, what dose should be taken on week four of the faster opioid tapering?",When,159,Pain Management Opioid Taper Decision Tool,30 mg SR (15 mg x 2) Q8h,Specifications
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on week 1, what dose should be taken on week five of the faster opioid tapering?",When,160,Pain Management Opioid Taper Decision Tool,15 mg SR Q8h,Specifications
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on week 1, what dose should be taken on week six of the faster opioid tapering?",When,161,Pain Management Opioid Taper Decision Tool,15 mg SR Q12h,Specifications
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on week 1, what dose should be taken on week seven of the faster opioid tapering?",When,162,Pain Management Opioid Taper Decision Tool,15 mg SR QHS x 7 days,Specifications
When to stop faster tapering?,When,163,Pain Management Opioid Taper Decision Tool,after week 7,Specifications
What may be considered after stopping faster tapering after week 7?,What,164,Pain Management Opioid Taper Decision Tool,morphine IR 15 mg ½ tablet (7.5 mg) twice daily,Specifications
How long does the rapid taper take?,How,165,Pain Management Opioid Taper Decision Tool,over days,Specifications
How much opioid to reduce in the rapid taper?,How,166,Pain Management Opioid Taper Decision Tool,"by 20 to 50% of first dose if needed, then reduce by 10 to 20% every day",Specifications
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day two of the rapid opioid tapering?",When,168,Pain Management Opioid Taper Decision Tool,45 mg SR (15 mg x 3) Q8h,Specifications
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day three of the rapid opioid tapering?",When,169,Pain Management Opioid Taper Decision Tool,30 mg SR (15 mg x 2) Q8h,Specifications
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day four of the rapid opioid tapering?",When,170,Pain Management Opioid Taper Decision Tool,15 mg SR Q8h,Specifications
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day five of the rapid opioid tapering?",When,171,Pain Management Opioid Taper Decision Tool,15 mg SR Q12h,Specifications
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day six of the rapid opioid tapering?",When,172,Pain Management Opioid Taper Decision Tool,15 mg SR Q12h,Specifications
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day seven of the rapid opioid tapering?",When,173,Pain Management Opioid Taper Decision Tool,15 mg SR Q12h,Specifications
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day eight of the rapid opioid tapering?",When,174,Pain Management Opioid Taper Decision Tool,15 mg SR QHS,Specifications
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day nine of the rapid opioid tapering?",When,175,Pain Management Opioid Taper Decision Tool,15 mg SR QHS,Specifications
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day ten of the rapid opioid tapering?",When,176,Pain Management Opioid Taper Decision Tool,15 mg SR QHS,Specifications
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day eleven of the rapid opioid tapering?",When,177,Pain Management Opioid Taper Decision Tool,15 mg SR QHS,Specifications
When to stop rapid tapering?,When,178,Pain Management Opioid Taper Decision Tool,after day 11,Specifications
What may be considered after stopping rapid tapering after day 11?,What,179,Pain Management Opioid Taper Decision Tool,morphine IR 15 mg ½ tablet (7.5 mg) twice daily,Specifications
Which taper can cause withdrawal effects?,Which,180,Pain Management Opioid Taper Decision Tool,Rapid tapers,Specifications
What can be caused by rapid taper?,What,181,Pain Management Opioid Taper Decision Tool,withdrawal effects,Specifications
How to minimize withdrawal effects in patients caused by rapid tapers?,How,182,Pain Management Opioid Taper Decision Tool,patients should be treated with adjunctive medications,Specifications
What may need to be considered during rapid tapers?,What,183,Pain Management Opioid Taper Decision Tool,admitting the patient for inpatient care,Specifications
When to take individualized decisions about which formulation to be tapered first?,When,185,Pain Management Opioid Taper Decision Tool,If patients are prescribed both long-acting and short-acting opioids,Specifications
"How much to take from days 1 to 10, when using morphine SR 15 mg tablets?",How,187,Pain Management Opioid Taper Decision Tool,"4 tablets = 60 mg in the morning, 3 tablets = 45 mg in the afternoon, 4 tablets = 60 mg in the evening",Specifications
"How much to take from days 11 to 20, when using morphine SR 15 mg tablets?",How,188,Pain Management Opioid Taper Decision Tool,"3 tablets = 45 mg in the morning, 3 tablets = 45 mg in the afternoon, 4 tablets = 60 mg in the evening",Specifications
"How much to take from days 21 to 30, when using morphine SR 15 mg tablets?",How,189,Pain Management Opioid Taper Decision Tool,"3 tablets = 45 mg in the morning, 3 tablets = 45 mg in the afternoon, 3 tablets = 45 mg in the evening",Specifications
What to do when Veteran feels supported and is adjusting to the dose reduction?,What,190,Pain Management Opioid Taper Decision Tool,"continue the strategy of reducing to morphine SR 30 mg every 8 hours, follow up in 1 to 4 weeks to determine the next step in the taper",Specifications
What to do when Veteran strongly resists reduction?,What,191,Pain Management Opioid Taper Decision Tool,request mental health support and consider the possibility of OUD,Specifications
What to do when Veteran is resisting further dose reductions?,What,192,Pain Management Opioid Taper Decision Tool,explore the reason for the reluctance,Specifications
What can be the reasons for the reluctance in further dose reductions?,What,193,Pain Management Opioid Taper Decision Tool,"medical (increased pain), mental health (worsening depression, anxiety, etc.), and substance use disorder (SUD)/opioid use disorder (OUD)",Specifications
What to do when Veteran is safe?,What,194,Pain Management Opioid Taper Decision Tool,remain at morphine SR 45 mg every 8 hours for 1 to 2 months then reassess,Specifications
What to review at each step in the taper?,What,196,Pain Management Opioid Taper Decision Tool,review the risk of the taper vs. the benefit of remaining at the current dose,Specifications
What to do at each step in the taper?,What,197,Pain Management Opioid Taper Decision Tool,"review the risk of the taper vs. the benefit of remaining at the current dose, and if necessary, adjust the speed of the taper according to the response of the Veteran",Specifications
What is recommended to be a team function?,What,200,Pain Management Opioid Taper Decision Tool,Follow-up for tapering,Specifications
Who may need to be included in the follow-up plan?,Who,201,Pain Management Opioid Taper Decision Tool,Mental health practitioners,Specifications
When to follow up with the Veteran during the slowest taper?,When,202,Pain Management Opioid Taper Decision Tool,1 to 4 weeks after starting taper then monthly before each reduction,Specifications
When to follow up with the Veteran during the slower taper?,When,203,Pain Management Opioid Taper Decision Tool,1 to 4 weeks after starting taper then monthly before each reduction,Specifications
When to follow up with the Veteran during the faster taper?,When,204,Pain Management Opioid Taper Decision Tool,weekly before each dose reduction,Specifications
When to follow up with the Veteran during the rapid taper?,When,205,Pain Management Opioid Taper Decision Tool,daily before each dose reduction or if available offer inpatient admission,Specifications
Where to follow up with the Veteran during the slowest taper?,Where,206,Pain Management Opioid Taper Decision Tool,in the clinic and/or over telephone,Specifications
Where to follow up with the Veteran during the slower taper?,Where,207,Pain Management Opioid Taper Decision Tool,in the clinic and/or over telephone,Specifications
Where to follow up with the Veteran during the faster taper?,Where,208,Pain Management Opioid Taper Decision Tool,in the clinic and/or over telephone,Specifications
Where to follow up with the Veteran during the rapid taper?,Where,209,Pain Management Opioid Taper Decision Tool,"in the hospital, clinic or over telephone",Specifications
Who will need to determine whether a telephone or in-clinic appointment is appropriate based on the risk category of the Veteran?,Who,211,Pain Management Opioid Taper Decision Tool,Providers,Specifications
