Question,Question Type,QID
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on month 1, what dose should be taken on month six of the slower opioid tapering?",When,150
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on month 1, what dose should be taken on month seven of the slower opioid tapering?",When,151
When to stop slower tapering?,When,152
What may be considered after stopping faster tapering after month 7?,What,153
How long does the faster taper take?,How,154
How much opioid to reduce in the faster taper?,How,155
During the first week in the faster taper what does consist of 16% reduction of morphine SR 90 mg Q8h = 270 MEDD?,What,156
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on week 1, what dose should be taken on week two of the faster opioid tapering?",When,157
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on week 1, what dose should be taken on week three of the faster opioid tapering?",When,158
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on week 1, what dose should be taken on week four of the faster opioid tapering?",When,159
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on week 1, what dose should be taken on week five of the faster opioid tapering?",When,160
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on week 1, what dose should be taken on week six of the faster opioid tapering?",When,161
"When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on week 1, what dose should be taken on week seven of the faster opioid tapering?",When,162
When to stop faster tapering?,When,163
What may be considered after stopping faster tapering after week 7?,What,164
How long does the rapid taper take?,How,165
How much opioid to reduce in the rapid taper?,How,166
During the first day in the rapid taper what does consist of 33% reduction of morphine SR 90 mg Q8h = 270 MEDD?,What,167
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day two of the rapid opioid tapering?",When,168
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day three of the rapid opioid tapering?",When,169
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day four of the rapid opioid tapering?",When,170
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day five of the rapid opioid tapering?",When,171
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day six of the rapid opioid tapering?",When,172
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day seven of the rapid opioid tapering?",When,173
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day eight of the rapid opioid tapering?",When,174
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day nine of the rapid opioid tapering?",When,175
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day ten of the rapid opioid tapering?",When,176
"When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day eleven of the rapid opioid tapering?",When,177
When to stop rapid tapering?,When,178
What may be considered after stopping rapid tapering after day 11?,What,179
Which taper can cause withdrawal effects?,Which,180
What can be caused by rapid taper?,What,181
How to minimize withdrawal effects in patients caused by rapid tapers?,How,182
What may need to be considered during rapid tapers?,What,183
"If patients are prescribed both long-acting and short-acting opioids, the decision about which formulation to be tapered first should be individualized based on what?",What,184
When to take individualized decisions about which formulation to be tapered first?,When,185
"If a Veteran is currently taking morphine SR 60 mg, 1 tablet every 8 hours and the goal is to reduce the dose of morphine to SR 30 mg every 8 hours using a slow taper, how to reduce opioid dose?",How,186
"How much to take from days 1 to 10, when using morphine SR 15 mg tablets?",How,187
"How much to take from days 11 to 20, when using morphine SR 15 mg tablets?",How,188
"How much to take from days 21 to 30, when using morphine SR 15 mg tablets?",How,189
What to do when Veteran feels supported and is adjusting to the dose reduction?,What,190
What to do when Veteran strongly resists reduction?,What,191
What to do when Veteran is resisting further dose reductions?,What,192
What can be the reasons for the reluctance in further dose reductions?,What,193
What to do when Veteran is safe?,What,194
The veteran undergoing slow tapering should be involved in what?,What,195
What to review at each step in the taper?,What,196
What to do at each step in the taper?,What,197
With whom to follow up during opioid taper?,Who,198
Follow-up for tapering is recommended to be what?,What,199
What is recommended to be a team function?,What,200
Who may need to be included in the follow-up plan?,Who,201
When to follow up with the Veteran during the slowest taper?,When,202
When to follow up with the Veteran during the slower taper?,When,203
When to follow up with the Veteran during the faster taper?,When,204
When to follow up with the Veteran during the rapid taper?,When,205
Where to follow up with the Veteran during the slowest taper?,Where,206
Where to follow up with the Veteran during the slower taper?,Where,207
Where to follow up with the Veteran during the faster taper?,Where,208
Where to follow up with the Veteran during the rapid taper?,Where,209
Based on which factors providers will need to determine whether a telephone or in-clinic appointment is appropriate?,Which,210
Who will need to determine whether a telephone or in-clinic appointment is appropriate based on the risk category of the Veteran?,Who,211
Who may have decompensation during the taper?,Who,212
Who may require a clinic visit over telephone follow-up?,Who,213
What to do if there are issues with the Veteran obtaining outside prescriptions during the taper?,What,214
What to do when patients are displaying other aberrant behaviors during the taper?,What,215
On what to follow-up with the Veteran?,What,216
What can be utilized to assist with managing the withdrawal symptoms?,What,217
What not to use to treat withdrawal symptoms?,What,218
When we may not see withdrawal symptoms?,When,219
How long does it take for early withdrawal symptoms to appear?,How,220
How long does it take for late withdrawal symptoms to appear?,How,221
How long does it take for prolonged withdrawal symptoms to appear?,How,222
What do early symptoms include?,What,223
What do late symptoms include?,What,224
What do prolonged symptoms include?,What,225
How long does it take to resolve early symptoms?,How,226
Which symptoms of withdrawal may take longer?,Which,227
Which withdrawal symptoms in patients with chronic pain may improve over time?,Which,228
What to consider to reduce withdrawal symptoms during the taper?,What,229
What is the first-line treatment option for autonomic symptoms?,What,230
When to hold dose if administering clonidine for autonomic symptoms?,When,231
What is the recommended dose if blood pressure <90/60 mmHg while administering clonidine for autonomic symptoms?,What,232
What do autonomic symptoms include?,What,233
What are the alternative treatment options for autonomic symptoms?,What,234
What is the alternative treatment option for autonomic symptoms using Baclofen?,What,235
What is the alternative treatment option for autonomic symptoms using Gabapentin?,What,236
"Which can help reduce withdrawal symptoms and help with pain, anxiety, and sleep?",Which,237
Which can help reduce withdrawal symptoms?,Which,238
"Which can help with pain, anxiety, and sleep?",Which,239
Gabapentin can help reduce what?,What,240
What is the alternative treatment option for autonomic symptoms using Tizanidine?,What,241
"What are the treatment options for anxiety, dysphoria, lacrimation, and rhinorrhea?",What,242
When to avoid diphenhydramine?,When,243
What are the treatment options for myalgias?,What,244
"For NSAIDs, be cautious for which patients?",Which,245
What is the treatment option for sleep disturbance?,What,246
What are the treatment options for nausea?,What,247
What is the treatment option for abdominal cramping?,What,248
What are the treatment options for diarrhea?,What,249
What are the guidelines based upon?,What,250
What are the guidelines designed to do?,What,251
What is not the intention of the guideline?,What,252
What should the guidelines not be construed as?,What,253
How should the guideline not be interpreted as?,How,254
What is the clinical practice guideline based on?,What,255
Who developed the guidelines?,Who,256
"Being developed by a panel of multidisciplinary experts, what does the guideline do?",What,257
When will the variations in practice inevitably and appropriately occur?,When,258
Who is responsible for evaluating the appropriateness of applying the guidelines?,Who,259
Every healthcare professional making use of these guidelines is responsible for what?,What,260
What does not guarantee coverage of civilian sector care?,What,261
When was the Department of Veterans Affairs (VA) and Department of Defense (DoD) Evidence-Based Practice Work Group (EBPWG) was established and first chartered?,When,262
What is EBPWG?,What,263
What was the mission of the Department of Veterans Affairs (VA) and Department of Defense (DoD) Evidence-Based Practice Work Group (EBPWG)?,What,264
"How does the Department of Veterans Affairs (VA) and Department of Defense (DoD) Evidence-Based Practice Work Group (EBPWG) advise the “…Health Executive Council on the use of clinical and epidemiological evidence to improve the health of the population across the Veterans Health Administration and Military Health System,”?",How,265
What are CPGs?,What,266
What does this CPG intend to do?,What,267
What is LOT?,What,268
When was the Clinical Practice Guideline for Management of Opioid Therapy for Chronic Pain published?,When,269
Who published the Clinical Practice Guideline for Management of Opioid Therapy for Chronic Pain (2010 OT CPG)?,Who,270
What was the basis for the Clinical Practice Guideline for Management of Opioid Therapy for Chronic Pain published in 2010?,What,271
"Since when has there been growing recognition of an opioid misuse epidemic, including among America’s Veterans?",When,272
"Since when has there been growing recognition of opioid use disorder in America, including among America’s Veterans?",When,273
"Since the release of the Clinical Practice Guideline, what has been growingly recognized?",What,274
When was a recommendation to update the 2010 OT CPG initiated?,When,275
What does the updated CPG include?,What,276
What is the updated CPG intended for?,What,277
What is the system-wide goal of the updated CPG guideline?,What,278
How does the updated CPG guideline fulfil its system-wide goal to improve the patient’s health and well-being?,How,279
What is the expected outcome of successful implementation of this guideline?,What,280
Who can use this guideline?,Who,281
When can this guideline be used?,When,282
What can be used to study and consider the latest information on opioid therapy (OT) by general clinicians or specialists?,What,283
How can it guide a patient encounter?,How,284
What specific information can this guideline provide to guide a patient encounter?,What,285
"When tapering is being considered, which section in the guideline can be used to assist in the development of a framework for guiding an individualized, informed discussion?",When,286
How can patients examine the guideline?,How,287
How can a health care system use the CPG?,How,288
How are the standards of care determined?,How,289
What does this guideline not cover?,What,290
Who must make the ultimate judgement regarding a particular clinical procedure or treatment course?,Who,291
The ultimate judgement regarding a particular clinical procedure or treatment course must be made in light of what?,What,292
The use of a CPG must always be considered as what?,What,293
What was used to make the recommendations?,What,294
What is GRADE?,What,295
Which four domains were considered to make the recommendations?,Which,296
"Given the relevance of all four domains in grading recommendations, what did the Work Group encounter?",What,297
What often far outweighs the potential benefits?,What,298
What contributed to strong recommendations in multiple instances?,What,299
What are recommended as alternatives to opioid therapy?,What,300
Self-management strategies are recommended as alternatives to what?,What,301
When are non-opioids recommended over opioids?,When,302
What is recommended when pharmacologic therapies are used?,What,303
What is the stance regarding the initiation of long-term opioid therapy for chronic pain?,What,304
What is recommended if prescribing opioid therapy for patients with chronic pain?,What,305
When is a short duration recommended?,When,306
What does require reevaluation and discussion of risks and benefits with patients?,What,307
Consideration of opioid therapy beyond 90 days requires what?,What,308
What is recommended for patients currently on long-term opioid therapy?,What,309
What is the stance regarding the long-term opioid therapy for pain in patients with untreated substance use disorder?,What,310
What is recommended for patients currently on long-term opioid therapy with evidence of untreated substance use disorder?,What,311
What is the stance regarding the concurrent use of benzodiazepines and opioids?,What,312
What to consider for patients currently on long-term opioid therapy and benzodiazepines?,What,313
What is the stance regarding long-term opioid therapy for patients less than 30 years of age secondary to higher risk of opioid use disorder and overdose?,What,314
What to recommend for patients less than 30 years of age currently on long-term opioid therapy?,What,315
What is recommended upon initiation of long-term opioid therapy?,What,316
How to implement the risk mitigation strategies upon initiation of long-term opioid therapy?,How,317
What should be commensurate with risk factors?,What,318
What are included in the strategies and their frequency?,What,319
What is recommended when considering initiating or continuing long-term opioid therapy?,What,320
When is assessing suicide risk and intervening recommended?,When,321
When is it recommended to evaluate benefits of continued opioid therapy and risk for opioid-related adverse events?,When,322
What is recommended at least every 3 months?,What,323
What risk is recommended to be evaluated at least every 3 months?,What,324
What benefits are recommended to be evaluated at least every 3 months?,What,325
"If prescribing opioids, what is the recommended dose?",What,326
The lowest dose of opioids is prescribed indicated by which factor?,Which,327
What kind of dose of opioids do not exist?,What,328
What is recommended as opioid dosage and risk increase?,What,329
When is it recommended more frequent monitoring for adverse events?,When,330
When do the risks for opioid use disorder start?,When,331
How do the risks for opioid use disorder increase?,How,332
At what range of dose the risks for overdose and death significantly increase?,What,333
What does significantly increase at a range of 20- 50 mg morphine equivalent daily dose?,What,334
What is the stance regarding opioid doses over 90 mg morphine equivalent daily dose for treating chronic pain?,What,335
What to do for patients who are currently prescribed doses over 90 mg morphine equivalent daily dose?,What,336
For whom to evaluate for tapering to reduced dose or to discontinuation?,Who,337
What is the stance regarding prescribing long-acting opioids for acute pain?,What,338
What is the stance regarding prescribing long-acting opioids as an as-needed medication?,What,339
What is recommended when risks of long-term opioid therapy outweigh benefits?,What,340
When is it recommended to taper to reduced dose or to discontinuation of long-term opioid therapy?,When,341
What should be avoided unless required for immediate safety concerns?,What,342
It is recommended to individualize opioid tapering based on what?,What,343
"What kind of care is recommended that addresses pain, substance use disorders, and/or mental health problems for patients presenting with high risk and/or aberrant behavior?",What,344
What does interdisciplinary care do?,What,345
What treatment is recommended to offer for opioid use disorder to patients with chronic pain and opioid use disorder?,What,346
Who are recommended to be offered medication assisted treatment? ,Who,347
Medication assisted treatment is recommended for what?,What,348
Where can we find information on the Management of Substance Use Disorders?,Where,349
What is recommended for mild-to-moderate acute pain?,What,350
Alternatives to opioids are recommended for what?,What,351
When is it suggested to use multimodal pain care including non-opioid medications as indicated?,When,352
What is suggested to be used when opioids are used for acute pain?,What,353
What is recommended if take-home opioids are prescribed?,What,354
"If take-home opioids are prescribed, what is the recommended dose of immediate-release opioids?",What,355
"If take-home opioids are prescribed, when is the opioid therapy reassessment recommended?",When,356
"If take-home opioids are prescribed, why is it recommended to have opioid therapy reassessment no later than 3-5 days?",Why,357
What should be offered to patients?,What,358
The CPG follows an algorithm that is designed to do what?,What,359
The use of the algorithm format as a way to represent patient management was chosen based on what?,What,360
What does the work Group recognize?,What,361
What does the simplified linear approach depicted through the algorithm and its format allow?,What,362
Who does assess the critical information needed at the major decision points in the clinical process?,Who,363
What does the algorithm include?,What,364
What is Module A about?,What,365
What therapies are preferred for chronic pain?,What,366
What to do if a patient is with chronic pain and has been on daily OT for pain for more than 3 months?,What,367
What to do if a patient is with chronic pain and has not been on daily OT for pain for more than 3 months?,What,368
"For patients who are in chronic pain and have not been on daily OT for pain for more than 3 months, which topics to consider for educating or re-educating them?",Who,369
What to implement and optimize for patients who are in chronic pain and have not been on daily OT for pain for more than 3 months?,What,370
What to do if the treatments are effective in managing pain and optimizing function?,What,371
What to do if the treatments are not effective in managing pain and optimizing function?,What,372
How to determine whether patient risks outweigh benefits?,How,373
What to do if patient risk outweighs benefits?,What,374
What to do if referral/consultation for evaluation and treatment is indicated?,What,375
What to do if referral/consultation for evaluation and treatment is not indicated?,What,376
What to do if the patient is not willing to engage in a comprehensive pain care plan?,What,377
What to do if the patient is willing to engage in a comprehensive pain care plan?,What,378
"When the patient is willing to engage in a comprehensive pain care plan, what to educate the patient and family about?",When,379
What to do if adding OT to comprehensive pain therapy is indicated at this time?,What,380
What to do if adding OT to comprehensive pain therapy is not indicated at this time?,What,381
What to do if the patient is prepared to accept responsibilities?,What,382
What to do if the patient is not prepared to accept responsibilities or the provider is not prepared to implement risk mitigation strategies?,What,383
What are the components of biopsychosocial assessment?,What,384
What to assess for patients already on OT?,What,385
What does pain assessment include?,What,386
What are psychological factors?,What,387
What are some examples of absolute contraindications to initiating opioid therapy for chronic pain?,What,388
What is LOT?,What,389
What is OT?,What,390
What does PDMP mean?,What,391
What does it mean by SUD?,What,392
What does UDT refer to?,What,393
What does VA/DoD Suicide CPG refer to?,What,394
What is module B about?,What,395
Who are provided opioid therapy treatment?,Who,396
Which approach to follow when initiating OT?,Which,397
What should be the duration and dosage when initiatiing opioid thrapy? ,What,398
What can happen with a strategy of escalating dose during OT?,What,399
How much dose escalation has not been shown to improve function and increase risk?,How,400
Who should not be prescribed long-acting opioids?,Who,401
Should the opioid-naive individuals be prescribed long-acting opioids?,Is there,402
Alternatives should be considered for which opioid pain medications?,Which,403
What to do if a patient is medically or psychiatrically unstable?,What,404
What to do if a patient is not medically or psychiatrically unstable?,What,405
What to do if there is a clinically meaningful improvement in function in the absence of significant risk factors?,What,406
What are some examples of comprehensive pain care plan?,What,407
What to do if there is no clinically meaningful improvement in function in the absence of significant risk factors?,What,408
On which basis the frequency of follow-ups with a patient on OT should be considered?,Which,409
What to do during a follow-up with a patient?,What,410
What to assess during a follow-up with a patient?,What,411
What to review and optimize during a follow-up?,What,412
Which factors can increase the risks of OT?,Which,413
What to do if the factors that increase risks of OT are present?,What,414
What to do if the factors that increase risks of OT are not present?,What,415
What to do if there are indications to discontinue or taper?,What,416
What to do if there are no indications to discontinue or taper?,What,417
What are the necessary risk mitigation strategies?,What,418
What are the indications for tapering and discontinuation?,What,419
Under which circumstances risks of opioid therapy outweigh benefits?,Which,420
Which factors may indicate the need for more frequent follow-up?,Which,421
Which factor can help identify non-adherence to a comprehensive pain care plan?,Which,422
What is an example of non-adherence to opioid prescription?,What,423
What are the characteristics of higher risk medication?,What,424
What is MEDD?,What,425
What does OEND refer to?,What,426
What is Module C about?,What,427
What to do if there is an indication to taper to reduced dose or taper to discontinuation?,What,428
What to do if the patient demonstrates signs or symptoms of SUD?,What,429
What to do if the patient is willing to engage in SUD therapy?,What,430
What to do if the patient does not demonstrate signs or symptoms of SUD?,What,431
What to do if there is evidence of diversion?,What,432
What to do if there is no evidence of diversion?,What,433
What are some examples of high-risk or dangerous behavior?,What,434
What to do if there is high risk or dangerous behavior?,What,435
What to do if the patient is not willing to engage in SUD therapy?,What,436
What to do immediately after discontinuing OT?,What,437
What to do if there is no high risk or dangerous behavior?,What,438
When to follow-up after each change in dosage?,When,439
When to follow-up after discontinuation?,When,440
What to consider while deciding when to follow up with a patient after each change in dosage or after discontinuation?,What,441
What to consider at each interaction with patient during the follow-ups?,What,442
What to do if the patient resists taper?,What,443
What to do if there is high risk or dangerous behaviors?,What,444
What to do if there is an increase in patient distress?,What,445
What to do if an SUD is identified?,What,446
What to do if an SUD is not identified?,What,447
What to do if an SUD is not identified and there is use of opioids to modulate emotions or an untreated or undertreated psychiatric disorder?,What,448
What to do if there is use of opioids to modulate emotions or an untreated or undertreated psychiatric disorder?,What,449
What is chemical coping?,What,450
What to consider for patients who are actively engaged in skills training?,What,451
What to do if patient is fearful or anxious about taper and ability to function on lower dose or without opioids?,What,452
What to use for more frequent follow-up?,What,453
What includes expanded care team?,What,454
What to do if there is a concern for diversion?,What,455
What to do if there is no concern for diversion?,What,456
"When safety allows, what are the advantages of a gradual taper?",When,457
What is the rate of a gradual taper?,What,458
What does a gradual taper rate allow?,What,459
What to do when there are concerns regarding risks of tapering?,What,460
What are the risks associated with tapering?,What,461
What maybe included in interdisciplinary services?,What,462
Which concerns need to be addressed at the time of opioid tapering?,Which,463
What are some examples of concerns that may negatively impact taper?,What,464
Which patient and treatment characteristics should be considered when determining tapering strategy?,Which,465
What is module D for?,What,466
What to do for patients currently on OT?,What,467
What to do if there are factors that would require immediate attention?,What,468
What to do if there are no factors requiring immediate attention?,What,469
What to do if prior medical records are available for review?,What,470
What includes prior medical records?,What,471
What to do if prior medical records are not available for review?,What,472
What to do if risks outweigh benefits of continuing OT?,What,473
What to do if risks do not outweigh benefits of continuing OT?,What,474
What to do after educating the patient?,What,475
What to do if there is no presence of prescribed opioid dose>90 mg MEDD or combined sedating medication that increases risk of adverse events or patient non-participation in a comprehensive pain care plan or other indications for tapering? ,What,476
What are non-opioid treatments for chronic pain?,What,477
What to do if the patient is experiencing clear functional improvement with minimal risk?,What,478
Follow-up with patients frequently based on what?,What,479
What to do if the patient is prescribed opioid dose>90 mg MEDD?,What,480
"What to do if there is presence of combined sedating medication that increases risk of adverse events (e.g., benzodiazepine)?",What,481
What to do if the patient does not participate in a comprehensive pain care plan?,What,482
Which factors require immediate attention and possible discontinuation?,Which,483
What other factors can acutely increase risk of overdose?,What,484
What are the risks of continuing opioid therapy?,What,485
What are the benefits of continuing opioid therapy?,What,486
What are some talking points for educating/re-educating the patients currently on OT? ,What,487
What is a national public health problem as outlined in the 2011 study by the National Academy of Medicine?,What,488
What was the National Academy of Medicine formerly known as?,What,489
How many Americans suffer from some form of chronic pain?,How,490
What was increasing at an alarming rate until recently?,What,491
What was accompanying the increase in prescriptions of opioid medications?,What,492
