title,context,question,answer
Pain Management Opioid Taper Decision Tool,"Opioids are not first-line or routine therapy for chronic pain. Establish treatment goals before starting opioid therapy and a plan if therapy is discontinued. Only continue opioid if there is clinically meaningful improvement in pain and function. Discuss risks, benefits and responsibilities for managing therapy before starting and during treatment.",What is not first-line or routine therapy for chronic pain management?,Opioids
Opioid Epidemic,"There has been limited research on the effectiveness of LOT for non-end-of-life pain. At the same time, there is mounting evidence of the ill effects of LOT, including increased mortality, OUD, overdose, sexual dysfunction, fractures, myocardial infarction, constipation, and sleep-disordered breathing. Despite increasing awareness of the known harms of opioids, 259 million opioid prescriptions were still written in 2012.",How much research has there been on the effectiveness of LOT for non-end-of-life pain?,limited
Module B: Treatment with Opioid Therapy,"Necessary risk mitigation strategies are OEND, UDT, PDMP, face-to-face follow-up with frequency determined by risk. Indications for tapering and discontinuation are as follows: risks of OT outweigh benefits, patient preference, diversion. Risks of opioid therapy outweigh benefits when there is lack of clinically meaningful improvement in function, concomitant use of medications that increase risk of overdose, co-occurring medical or mental health conditions that increase risk, concerns about OUD or other SUD, patient con-compliance with opioid safety measures and opioid risk mitigation strategies, patient non-participation in a comprehensive pain care plan, prescribed dose higher than the maximal recommended dose, pain condition not effectively treated with opioids (e.g., back pain with normal MRI; fibromyalgia), medical or mental health comorbidities that increase risk, improvement in the underlying pain condition being treated, unmanageable side effects. Factors that may indicate need for more frequent follow-up are non-adherence to comprehensive pain care plan, unexpected UDT and PDMP results, non-adherence to opioid prescription, higher risk medication characteristics, patients with mental health, medical, or SUD comorbidities that increase risk for adverse outcomes. A factor that can help identify non-adherence to a comprehensive pain care plan can be attendance at appointments. Examples of non-adherence to opioid prescription include using more than prescribed and/or running out late. Higher risk medication can be high-dose opioids, combination of opioids and benzodiazepines. MEDD refers to morphine equivalent daily dose; MRI refers to magnetic resonance imaging; OEND refers to Overdose Education and Naloxone Distribution.",What are the necessary risk mitigation strategies?,"OEND, UDT, PDMP, face-to-face follow-up with frequency determined by risk"
Module B: Treatment with Opioid Therapy,"Necessary risk mitigation strategies are OEND, UDT, PDMP, face-to-face follow-up with frequency determined by risk. Indications for tapering and discontinuation are as follows: risks of OT outweigh benefits, patient preference, diversion. Risks of opioid therapy outweigh benefits when there is lack of clinically meaningful improvement in function, concomitant use of medications that increase risk of overdose, co-occurring medical or mental health conditions that increase risk, concerns about OUD or other SUD, patient con-compliance with opioid safety measures and opioid risk mitigation strategies, patient non-participation in a comprehensive pain care plan, prescribed dose higher than the maximal recommended dose, pain condition not effectively treated with opioids (e.g., back pain with normal MRI; fibromyalgia), medical or mental health comorbidities that increase risk, improvement in the underlying pain condition being treated, unmanageable side effects. Factors that may indicate need for more frequent follow-up are non-adherence to comprehensive pain care plan, unexpected UDT and PDMP results, non-adherence to opioid prescription, higher risk medication characteristics, patients with mental health, medical, or SUD comorbidities that increase risk for adverse outcomes. A factor that can help identify non-adherence to a comprehensive pain care plan can be attendance at appointments. Examples of non-adherence to opioid prescription include using more than prescribed and/or running out late. Higher risk medication can be high-dose opioids, combination of opioids and benzodiazepines. MEDD refers to morphine equivalent daily dose; MRI refers to magnetic resonance imaging; OEND refers to Overdose Education and Naloxone Distribution.",When do risks of opioid therapy outweigh benefits?,"when there is lack of clinically meaningful improvement in function, concomitant use of medications that increase risk of overdose, co-occurring medical or mental health conditions that increase risk, concerns about OUD or other SUD, patient con-compliance with opioid safety measures and opioid risk mitigation strategies, patient non-participation in a comprehensive pain care plan, prescribed dose higher than the maximal recommended dose, pain condition not effectively treated with opioids (e.g., back pain with normal MRI; fibromyalgia), medical or mental health comorbidities that increase risk, improvement in the underlying pain condition being treated, unmanageable side effects"
Paradigm Shift in Pain and Its Treatment,"A paradigm shift in the use of OT for chronic non-terminal pain has paralleled this transformation in pain  care. Prior to the 1980s, OT was rarely used outside of severe acute injury or post-surgical pain, primarily due to concern for tolerance, physical dependence, and addiction. As the hospice and palliative care  movement began defining end-of-life care in the U.S. during the 1980s and emphasizing the importance of  pain relief, OT increasingly became a mainstay for cancer and end-of-life pain. Efforts to destigmatize the use of prescription opioids for chronic non-terminal pain encompassed primary care providers and the  public. The efforts led to an unprecedented increase in opioid prescribing for chronic non-terminal pain.  Chronic pain management became synonymous with LOT in the 1990s and the first decade of the 2000s  with significant numbers of patients in pain clinics receiving LOT. Despite the absence of long-term safety or efficacy data, OT for chronic non-terminal pain became a mainstay of therapy. However, as observational and epidemiologic data of harm from LOT accumulated, a much more cautious approach to  OT for chronic non-terminal pain has emerged in the decade of the 2010s.",What happened concurrently with the transformation in pain care?,A paradigm shift in the use of OT for chronic non-terminal pain
Opioid Epidemic,"There has been limited research on the effectiveness of LOT for non-end-of-life pain. At the same time, there is mounting evidence of the ill effects of LOT, including increased mortality, OUD, overdose, sexual dysfunction, fractures, myocardial infarction, constipation, and sleep-disordered breathing. Despite increasing awareness of the known harms of opioids, 259 million opioid prescriptions were still written in 2012.",How many opioid prescriptions were written in 2012 in spite of increasing awareness of the known harms of opioids?,259 million
Opioid Epidemic,"There has been limited research on the effectiveness of LOT for non-end-of-life pain. At the same time, there is mounting evidence of the ill effects of LOT, including increased mortality, OUD, overdose, sexual dysfunction, fractures, myocardial infarction, constipation, and sleep-disordered breathing. Despite increasing awareness of the known harms of opioids, 259 million opioid prescriptions were still written in 2012.",What are the adverse effects of LOT?,"increased mortality, OUD, overdose, sexual dysfunction, fractures, myocardial infarction, constipation, and sleep-disordered breathing"
Pain Management Opioid Taper Decision Tool,"When considering an opioid taper, monitor for conditions that may warrant evaluation and arrange primary care and/or emergency department follow-up when indicated. If a patient is taking more than their prescribed dosage of opioids or showing signs of aberrant behavior, before deciding to change therapy, look for “red flags”. The red flags are progressive numbness or weakness, progressive changes in bowel or bladder function, unexplained weight loss, history of internal malignancy that has not been re-staged, signs of/risk factors for infection. An urgent evaluation may be needed when there is progressive numbness or weakness. An urgent evaluation may be needed when there are progressive changes in bowel or bladder function. An urgent evaluation may be needed when there is unexplained weight loss. An urgent evaluation may be needed when there is a history of internal malignancy that has not been re-staged. An urgent evaluation may be needed when there are signs of/risk factors for infection. The signs of/risk factors for infection are fever, recent skin or urinary infection, immunosuppression, IV drug use.",What is needed when there is unexplained weight loss?,An urgent evaluation
Module D: Patients Currently on Opioid Therapy,"Module D is for patients currently on opioid therapy. For patients currently on OT, look for factors that would require immediate attention and possible discontinuation of OT due to unacceptable risk. If there are factors that would require immediate attention, then admit/provide treatment to stabilize, including opioid tapering or SUD treatment as indicated. If there are no factors that would require immediate attention, then obtain a biopsychosocial assessment. If prior medical records including current prescriber, prior and current UDT, PDMP are available for review, then review data and re-assess risks and benefits of continuing OT and consider strength and number of risk factors. If unavailable, then address factors related to incomplete data prior to prescribing. If risks outweigh benefits of continuing OT, then proceed to module C. If risks do not outweigh benefits of continuing OT, then educate/re-educate on non-opioid management, self-management to improve function and quality of life, realistic expectations and limitations of medical treatment options, preferred treatment methods being non-pharmacotherapy and non-opioid pharmacotherapy, new information on risks and lack of benefits of long-term OT. If there is presence of prescribed opioid dose>90 mg MEDD or combined sedating medication that increases risk of adverse events (e.g., benzodiazepine) or patient non-participation in a comprehensive pain care plan or other indications for tapering, then proceed to module C. Otherwise, reassess and optimize preferred non-opioid treatments for chronic pain (e.g., physical and psychological treatments) recognizing that the patient is willing to continue to engage in a comprehensive treatment plan including non-opioid treatments. If the patient is experiencing clear functional improvement with minimal risk, then continue OT using the following approach: shortest duration, using lowest effective dose, continual assessment of improvement in pain and functional status and adverse effects. Then proceed to follow-up frequently based on patient risk factors. Otherwise, proceed to module C. ",What to do if risks do not outweigh benefits of continuing OT?,"educate/re-educate on non-opioid management, self-management to improve function and quality of life, realistic expectations and limitations of medical treatment options, preferred treatment methods being non-pharmacotherapy and non-opioid pharmacotherapy, new information on risks and lack of benefits of long-term OT"
Module D: Patients Currently on Opioid Therapy,"Factors requiring immediate attention and possible discontinuation are untreated SUD, unstable mental health disorder, medical condition that acutely increases opioid risks, other factors that acutely increase risk of overdose, acutely elevated suicide risk. Medical conditions that acutely increase opioid risks can be compromised or worsening cognitive or cardiopulmonary status. Other factors that acutely increase risk of overdose can be recent overdose, current sedation, recent motor vehicle accident. The risks of continuing opioid therapy are as follows: increase in all-cause mortality, increase risk of unintentional overdose death, increase risk of developing OUD, risk of developing or worsening depression, falls, fractures, sleep disordered breathing, worsening pain, motor vehicle accidents hypogonadism, prolonged pain, nausea, constipation, dry mouth, sedation, cognitive dysfunction, immune system dysfunction, reduction in function, reduction in quality of life. The benefits of continuing opioid therapy are modest short-term improvement in pain, possible short-term improvement in function. Some talking points for education and re-education for patients currently on OT are “Doctors used to think that opioids were safe and effective when used for long periods of time to treat chronic pain.”, “New information has taught us that long-term opioid use can lead to multiple problems including loss of pain relieving effects, increased pain, unintentional death, OUD, and problems with sleep, mood, hormonal dysfunction, and immune dysfunction,”, “We now know that the best treatments for chronic pain are not opioids. The best treatments for chronic pain are non-drug treatments such as psychological therapies and rehabilitation therapies and non-opioid medications.”.",What are the benefits of continuing opioid therapy?,"modest short-term improvement in pain, possible short-term improvement in function"
Pain Management Opioid Taper Decision Tool,"Ensure screening and treatment is offered for conditions that can complicate pain management before initiating an opioid taper. Conditions that can complicate pain management are mental health disorders, OUD and other SUD, moral injury, central sensitization, medical complications, sleep disorders. Mental health disorders include PTSD, anxiety disorders, depressive disorders. If suicidal, then activate suicide prevention plan. If high suicide risk or actively suicidal, consult with mental health provider before beginning taper. The lifetime prevalence for OUD among patients receiving long-term opioid therapy is estimated to be about 41%: approximately 28% for mild symptoms, 10% for moderate symptoms and 3.5% for severe symptoms of OUD. Patients with chronic pain who develop OUD from opioid analgesic therapy need to have BOTH pain and OUD addressed. Either tapering the opioid analgesic or continuing to prescribe the opioid without providing OUD treatment may increase the risk of overdose and other adverse events.",Tapering the opioid analgesic without providing OUD treatment may increase the risk of what?,overdose and other adverse events
Pain Management Opioid Taper Decision Tool,"Faster Taper is done over weeks. In faster taper, reduce opioid by 10 to 20% every week.  An example of the faster taper is given below. During the first week in the faster taper, 16% reduction of morphine SR 90 mg Q8h = 270 MEDD consists of 75 mg SR Q8h. The subsequent weekly dosage for the faster taper is 60 mg SR (15 mg x 4) Q8h for week 2, 45 mg SR (15 mg x 3) Q8h for week 3, 30 mg SR (15 mg x 2) Q8h for week 4, 15 mg SR Q8h for week 5, 15 mg SR Q12h for week 6, 15 mg SR QHS x 7 days for week 7. Stop faster tapering after week 7 and may consider morphine IR 15 mg ½ tablet (7.5 mg) twice daily.","When reducing 16% of morphine SR 90 mg Q8h = 270 MEDD on week 1, what dose should be taken on week five of the faster opioid tapering?",15 mg SR Q8h
Paradigm Shift in Pain and Its Treatment,"The accumulation of evidence of harms and the absence of evidence of long-term benefits has warranted  a newly cautious approach to LOT that prioritizes safety. This approach coupled with the evidence of both the safety and efficacy for non-pharmacologic and non-opioid pharmacologic pain therapies has led to the  current transformation in the way in which pain is viewed and treated. The biopsychosocial model of pain recognizes pain as a complex multidimensional experience that requires multimodal and integrated care approaches. Within this context, non-pharmacologic treatments and non-opioid medications are the preferred treatments for chronic non-terminal pain. OT has a limited role, primarily in the treatment of severe acute pain, post-operative pain, and end-of-life pain.  ",What warranted a newly cautious approach to LOT that prioritizes safety?,The accumulation of evidence of harms and the absence of evidence of long-term benefits
Pain Management Opioid Taper Decision Tool,"Rapid Taper is done over days. Rapid tapers can cause withdrawal effects and patients should be treated with adjunctive medications to minimize these effects; may need to consider admitting the patient for inpatient care. If patients are prescribed both long-acting and short-acting opioids, the decision about which formulation to be tapered first should be individualized based on medical history, mental health diagnoses, and patient preference. Data shows that overdose risk is greater with long-acting preparations. In rapid taper, reduce opioid by 20 to 50% of first dose if needed, then reduce by 10 to 20% every day. An example of the rapid taper is given below. During the first day in the rapid taper, 33% reduction of morphine SR 90 mg Q8h = 270 MEDD consists of 60 mg SR (15 mg x 4) Q8h. The subsequent daily dosage for the rapid taper is 45 mg SR (15 mg x 3) Q8h for day 2, 30 mg SR (15 mg x 2) Q8h for day 3, 15 mg SR Q8h for day 4, 15 mg SR Q12h for day 5-7, 15 mg SR QHS for day 8-11. Stop rapid tapering after day 11 and may consider morphine IR 15 mg ½ tablet (7.5 mg) twice daily.","When reducing 33% of morphine SR 90 mg Q8h = 270 MEDD on day 1, what dose should be taken on day five of the rapid opioid tapering?",15 mg SR Q12h
Recommendations,"We strongly recommend against initiation of long-term opioid therapy for chronic pain. We recommend alternatives to opioid therapy such as self-management strategies and other non-pharmacological treatments. When pharmacologic therapies are used, we recommend non-opioids over opioids. If prescribing opioid therapy for patients with chronic pain, we recommend a short duration. Note: Consideration of opioid therapy beyond 90 days requires reevaluation and discussion with patient of risks and benefits.",Self-management strategies are recommended as alternatives to what?,opioid therapy
Pain Management Opioid Taper Decision Tool,"Opioids are not first-line or routine therapy for chronic pain. Establish treatment goals before starting opioid therapy and a plan if therapy is discontinued. Only continue opioid if there is clinically meaningful improvement in pain and function. Discuss risks, benefits and responsibilities for managing therapy before starting and during treatment.",What should be done if an opioid thrapy is discontinued?,plan
Module C: Tapering or Discontinuation of Opioid Therapy,"When safety allows, a gradual taper rate (5-10% reduction every 4 weeks) allows time for neurobiological, psychological, and behavioral adaptations. When there are concerns regarding risks of tapering (e.g., unmasked OUD, exacerbation of underlying mental health conditions) consider interdisciplinary services that may include mental health, SUD, primary care, and specialty pain care. Address concerns that may negatively impact taper (e.g., inability for adequate follow-up, inability to provide adequate treatment for co-occurring medical and mental health conditions and SUD). Patient and treatment characteristics to consider when determining tapering strategy are opioid dose, duration of therapy, type of opioid formulation, psychiatric, medical and SUD comorbidities and other patient risk factors. Other patient risk factors include non-adherence, high-risk medication-related behavior, strength of social support, and coping.",What needs to be addressed at the time of opioid tapering?,concerns that may negatively impact taper
Pain Management Opioid Taper Decision Tool,"Rapid Taper is done over days. Rapid tapers can cause withdrawal effects and patients should be treated with adjunctive medications to minimize these effects; may need to consider admitting the patient for inpatient care. If patients are prescribed both long-acting and short-acting opioids, the decision about which formulation to be tapered first should be individualized based on medical history, mental health diagnoses, and patient preference. Data shows that overdose risk is greater with long-acting preparations. In rapid taper, reduce opioid by 20 to 50% of first dose if needed, then reduce by 10 to 20% every day. An example of the rapid taper is given below. During the first day in the rapid taper, 33% reduction of morphine SR 90 mg Q8h = 270 MEDD consists of 60 mg SR (15 mg x 4) Q8h. The subsequent daily dosage for the rapid taper is 45 mg SR (15 mg x 3) Q8h for day 2, 30 mg SR (15 mg x 2) Q8h for day 3, 15 mg SR Q8h for day 4, 15 mg SR Q12h for day 5-7, 15 mg SR QHS for day 8-11. Stop rapid tapering after day 11 and may consider morphine IR 15 mg ½ tablet (7.5 mg) twice daily.",What can be caused by rapid taper?,withdrawal effects
Pain Management Opioid Taper Decision Tool,"Use immediate-release (IR) opioids when starting therapy. Prescribe the lowest effective dose. When using opioids for acute pain, provide no more than needed for the condition. Follow up and review benefits and risks before starting and during therapy. If benefits do not outweigh harms, consider tapering opioids to lower doses or taper and discontinue.",What to follow up or review during opioid therapy?,benefits and risks
Opioid Epidemic,"The increase in opioid prescribing is matched by a parallel increase in morbidity, mortality, opioid-related  overdose death rates, and substance use disorders (SUD) treatment admissions from 1999 to 2008.  In 2009, drug overdose became the leading cause of injury-related death in the U.S., surpassing deaths from traffic accidents. In 2014, 1.9 million Americans were affected by an OUD related to non-medical  use of prescription pain relievers, and in the same year, 18,893 individuals died as a result of a  prescription drug overdose. There has been a four-fold increase in the absolute number of deaths  associated with use of opioids since 2000, and a 14% increase between 2013 and 2014 alone. In a survey of patients prescribed opioids for chronic non-cancer pain (CNCP) and their family members, 34% of patients reported that they thought they were “addicted” or “dependent” on opioid pain medication, 34% said that they used the medication for “fun” or to “get high,” while 22% used the medication to relieve day-to-day stress.",What was the outcome of the survey of patients prescribed opioids for chronic non-cancer pain (CNCP) and their family members?,"34% of patients reported that they thought they were “addicted” or “dependent” on opioid pain medication, 34% said that they used the medication for “fun” or to “get high,” while 22% used the medication to relieve day-to-day stress"
Pain Management Opioid Taper Decision Tool,"Ensure screening and treatment is offered for conditions that can complicate pain management before initiating an opioid taper. Conditions that can complicate pain management are mental health disorders, OUD and other SUD, moral injury, central sensitization, medical complications, sleep disorders. Mental health disorders include PTSD, anxiety disorders, depressive disorders. If suicidal, then activate suicide prevention plan. If high suicide risk or actively suicidal, consult with mental health provider before beginning taper. The lifetime prevalence for OUD among patients receiving long-term opioid therapy is estimated to be about 41%: approximately 28% for mild symptoms, 10% for moderate symptoms and 3.5% for severe symptoms of OUD. Patients with chronic pain who develop OUD from opioid analgesic therapy need to have BOTH pain and OUD addressed. Either tapering the opioid analgesic or continuing to prescribe the opioid without providing OUD treatment may increase the risk of overdose and other adverse events.",What needs to be addressed for patients with chronic pain who develop OUD from opioid analgesic therapy?,BOTH pain and OUD
Module A: Determination of Appropriateness for Opioid Therapy,"The components of biopsychosocial assessment are pain assessment, patient functional goals, impact of pain on family, work, life, review of previous diagnostic studies, additional consultations and referrals, coexisting illness and treatments and effect on pain, significant psychological, social, or behavioral factors that may affect treatment, family history of chronic pain, collateral of family involvement, patient beliefs/knowledge of the cause of their pain and their treatment preferences along with the perceived efficacy of various treatment options. For patients already on OT, include assessment of psychological factors related to continuing vs. tapering OT. The psychological factors are beliefs, expectations, fears. Pain assessment includes history, physical exam, comorbidities, previous treatment and medications, duration of symptoms, onset and triggers. Examples of absolute contraindications to initiating opioid therapy for chronic pain are true life-threatening allergy to opioids, active SUD, elevated suicide risk, concomitant use of benzodiazepines. LOT refers to long-term opioid therapy; OT refers to opioid therapy; PDMP refers to Prescription Drug Monitoring Program; SUD refers to substance use disorder; UDT refers to urine drug test; VA/DoD Suicide CPG refers to VA/DoD Clinical Practice Guideline for the Assessment and Management of Patients at Risk for Suicide.",What does UDT refer to?,urine drug test
Pain Management Opioid Taper Decision Tool,"Use a shared decision-making approach to discuss options for OUD treatment. Medication-Assisted Therapy (MAT) is the first-line treatment for OUD. The preferred OUD treatment is Opioid Agonist Therapy (OAT). Opioid agonist treatment involves taking opioid agonist medications such as buprenorphine/naloxone (Suboxone) or methadone. Methadone must be provided through a federally regulated opioid treatment program for OUD therapy. The alternative OUD treatment is extended-release (ER) injectable naltrexone (Vivitrol). MAT can be provided in a variety of treatment settings including residential SUD treatment, intensive outpatient SUD treatment, regular SUD specialty care clinic, primary care or general mental health clinic, or federally regulated opioid treatment program. Moral injury is an act of transgression that leads to serious inner conflict typically brought on by betrayal, disproportionate violence, incidents involving civilians, within-rank violence. For moral injury, treatment via psychologists or chaplains is available. Central sensitization (e .g., fibromyalgia, chronic headaches, and likely many other types of complex chronic pain). Some examples of medical complications are lung disease, hepatic disease, renal disease, or fall risk. Sleep apnea is a sleep disorder.","For OUD therapy, methadone must be provided through what?",a federally regulated opioid treatment program
